Metric,New,Base,fammaPort,SPY.RETURNS,rf.rate
Mean,0.0036373430404378,0.0015808692986983063,0.008244444444444445,0.0067252353238113636,7.473847517730497e-4
StDev,0.06548787302139998,0.04261185742079623,0.06004641011883395,0.04638782772937911,0.0010880373130590657
Max,0.1697192307692308,0.11980448390677027,0.24165,0.11954471661083348,0.0043
Min,-0.364455,-0.159599108999109,-0.1865,-0.18054723632913416,0
Obs,192,192,135,192,188
TStat,0.7696158277776536,0.5140627254863432,1.5952958371136836,2.0088803194930933,9.418448522425528
Sharpe,0.05554223816750312,0.03709928161748662,0.1373012046536737,0.14497844915363486,0.6869109568234787
Correlation,1,0.7223680015089994,-0.3807198398421156,-0.1685390114742816,0.038901007714489184
Mean of Difference w.r.t. New,NA,0.0020564737417394937,8.687419319833887e-4,-0.0030878922833735634,0.0025583886781585918
T-Stat of Difference w.r.t. New,NA,0.6258843375861235,0.10042815814356905,-0.4952368371457203,0.5323649858076579
